Market,Variety,Grade,Model,MSE,MAE
Narwal,American,NA,lstm,105.1055021,7.172125093
Narwal,American,NA,prophet,1068.863813,25.82281118
Narwal,American,NA,rf,728.1618669,19.08818182
Narwal,American,NA,sarima,831.5003442,20.75345793
Narwal,American,NA,transformer,878.0171001,21.20158702
Narwal,American,NA,xgb,920.6410122,22.02163244
Narwal,Condition,NA,lstm,6.731081239,1.608968209
Narwal,Condition,NA,prophet,435.1552134,16.53170518
Narwal,Condition,NA,rf,7.363466471,1.649591612
Narwal,Condition,NA,sarima,34.6947139,4.908496176
Narwal,Condition,NA,transformer,6.308565592,1.279894444
Narwal,Condition,NA,xgb,7.445171835,1.691852723
Narwal,Delicious,NA,lstm,63.43102229,4.937807853
Narwal,Delicious,NA,prophet,1541.721892,33.66375338
Narwal,Delicious,NA,rf,165.9347529,8.758479253
Narwal,Delicious,NA,sarima,1244.451504,28.54534501
Narwal,Delicious,NA,transformer,281.8544364,11.85604072
Narwal,Delicious,NA,xgb,242.6743233,10.42911038
Narwal,Hazratbali,NA,lstm,33.59610351,3.349066053
Narwal,Hazratbali,NA,prophet,41.44917705,4.961376751
Narwal,Hazratbali,NA,rf,29.55008443,2.969068232
Narwal,Hazratbali,NA,sarima,182.6887366,11.20712401
Narwal,Hazratbali,NA,transformer,31.98551001,3.489056042
Narwal,Hazratbali,NA,xgb,19.00639122,2.170878864
Narwal,Razakwadi,NA,lstm,21.07391853,3.832945175
Narwal,Razakwadi,NA,prophet,32.39886554,4.129543806
Narwal,Razakwadi,NA,rf,21.12245968,2.639996825
Narwal,Razakwadi,NA,sarima,96.47388905,8.725735675
Narwal,Razakwadi,NA,transformer,28.91867061,3.438554544
Narwal,Razakwadi,NA,xgb,403.0755281,15.29509652
Pulwama_Pachhar,American,A,lstm,0.537213589,0.611055006
Pulwama_Pachhar,American,A,prophet,102.115951,9.544246829
Pulwama_Pachhar,American,A,rf,10.69041619,2.870843064
Pulwama_Pachhar,American,A,sarima,39.31439787,5.517496195
Pulwama_Pachhar,American,A,transformer,0.27963838,0.328026982
Pulwama_Pachhar,American,A,xgb,7.09934511,1.716034123
Pulwama_Pachhar,American,B,lstm,0.400827662,0.312625777
Pulwama_Pachhar,American,B,prophet,129.4410125,10.74501916
Pulwama_Pachhar,American,B,rf,2.575226551,1.561899017
Pulwama_Pachhar,American,B,sarima,15.08188348,3.337038968
Pulwama_Pachhar,American,B,transformer,1.572895663,1.067367826
Pulwama_Pachhar,American,B,xgb,8.175887392,2.493098525
Pulwama_Pachhar,Delicious,A,lstm,1.0631241,0.398642842
Pulwama_Pachhar,Delicious,A,prophet,852.7102925,23.88497979
Pulwama_Pachhar,Delicious,A,rf,1.60712135,1.090380944
Pulwama_Pachhar,Delicious,A,sarima,257.1317784,14.47152829
Pulwama_Pachhar,Delicious,A,transformer,1.128486608,0.640360886
Pulwama_Pachhar,Delicious,A,xgb,1.67991249,1.114444442
Pulwama_Pachhar,Delicious,B,lstm,0.617162709,0.603738607
Pulwama_Pachhar,Delicious,B,prophet,421.6180894,16.61790306
Pulwama_Pachhar,Delicious,B,rf,3.470976673,1.372130139
Pulwama_Pachhar,Delicious,B,sarima,303.9916823,16.81122413
Pulwama_Pachhar,Delicious,B,transformer,0.477808732,0.265957399
Pulwama_Pachhar,Delicious,B,xgb,15.04187045,3.492256932
Pulwama_Pachhar,Kullu Delicious,A,lstm,0.343295957,0.270150551
Pulwama_Pachhar,Kullu Delicious,A,prophet,161.7865083,12.51978201
Pulwama_Pachhar,Kullu Delicious,A,rf,1.455183259,0.68628105
Pulwama_Pachhar,Kullu Delicious,A,sarima,9.881857487,2.716760882
Pulwama_Pachhar,Kullu Delicious,A,transformer,1.170221549,0.5049679
