Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,F&V Mandi Narwal,Cherry,cherry-medium,2025-06-10,11000.0
,Satellite F & V Market Kathua,Cherry,Awal Number,2025-06-10,12000.0
,Bangalore,Cherry,Awal Number,2025-06-10,29000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2025-06-10,13500.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-06-10,3750.0
,F & V Market Ganderbal,Cherry,Queensland,2025-06-10,12500.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-06-10,7500.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-06-10,14500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-06-10,16000.0
,Kolkata Mandi,Cherry,cherry-large,2025-06-10,35000.0
,Bangalore,Cherry,Awal Number,2025-06-09,30000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-06-09,11000.0
,Satellite F & V Market Kathua,Cherry,Awal Number,2025-06-09,12000.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-06-09,14500.0
,Kolkata Mandi,Cherry,cherry-large,2025-06-09,35000.0
,Satellite F & V Market Kathua,Cherry,Awal Number,2025-06-06,12000.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-06-06,3800.0
,F & V Market Ganderbal,Cherry,Queensland,2025-06-06,12600.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-06-06,7500.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-06-06,13000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2025-06-06,12500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-06-06,14000.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-06-05,15000.0
,Bangalore,Cherry,Awal Number,2025-06-05,30000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2025-06-05,12000.0
,Satellite F & V Market Kathua,Cherry,Awal Number,2025-06-05,10000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-06-05,11500.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-06-05,3750.0
,F & V Market Ganderbal,Cherry,Queensland,2025-06-05,12500.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-06-05,7500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-06-05,14000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-06-04,11500.0
,Satellite F & V Market Kathua,Cherry,Awal Number,2025-06-04,15000.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-06-04,5750.0
,F & V Market Ganderbal,Cherry,Stella,2025-06-04,13000.0
,F & V Market Ganderbal,Cherry,Queensland,2025-06-04,12500.0
